Node,Load,Algorithm,Time
H,1000,Algorithm3,11.15959
H,1000,Algorithm3,11.21598
H,1000,Algorithm3,11.24243
H,1000,Algorithm3,11.03838
H,1000,Algorithm3,11.22398
H,1000,Algorithm3,11.22156
H,1000,Algorithm3,11.01899
H,1000,Algorithm3,11.05580
H,1000,Algorithm3,11.17627
H,1000,Algorithm3,11.27122
H,1000,Algorithm3,10.97895
H,1000,Algorithm3,11.31013
H,1000,Algorithm3,11.15980
H,1000,Algorithm3,11.19327
H,1200,Algorithm1,10.65775
H,1200,Algorithm1,10.47226
H,1200,Algorithm1,10.48883
H,1200,Algorithm1,10.56264
H,1200,Algorithm1,10.64429
H,1200,Algorithm1,10.56902
H,1200,Algorithm1,10.46212
H,1200,Algorithm1,10.49930
H,1200,Algorithm1,10.50958
H,1200,Algorithm1,10.46846
H,1200,Algorithm1,10.46566
H,1200,Algorithm1,10.59198
H,1200,Algorithm1,10.65076
H,1200,Algorithm1,10.55248
H,1200,Algorithm1,10.61052
H,1200,Algorithm1,10.54798
H,1200,Algorithm1,10.53976
H,1200,Algorithm1,10.55118
H,1200,Algorithm1,10.64257
H,1200,Algorithm1,10.62732
H,1200,Algorithm2,66.50438
H,1200,Algorithm2,65.94304
H,1200,Algorithm2,66.84076
H,1200,Algorithm2,65.87802
H,1200,Algorithm2,67.12707
H,1200,Algorithm2,67.21010
H,1200,Algorithm2,65.58690
H,1200,Algorithm2,66.85956
H,1200,Algorithm2,65.91606
H,1200,Algorithm2,66.88924
H,1200,Algorithm2,66.53202
H,1200,Algorithm2,67.05981
H,1200,Algorithm2,66.96655
H,1200,Algorithm2,66.66345
H,1200,Algorithm2,65.62104
H,1200,Algorithm2,65.74629
H,1200,Algorithm2,65.53378
H,1200,Algorithm2,66.59485
H,1200,Algorithm2,66.03968
H,1200,Algorithm2,65.80521
H,1200,Algorithm3,27.50228
H,1200,Algorithm3,27.64330
H,1200,Algorithm3,26.74294
H,1200,Algorithm3,26.40140
H,1200,Algorithm3,27.76595
H,1200,Algorithm3,26.11376
H,1200,Algorithm3,26.56770
H,1200,Algorithm3,27.61133
H,1200,Algorithm3,26.62049
H,1200,Algorithm3,26.33963
H,1200,Algorithm3,27.28725
H,1200,Algorithm3,27.62499
H,1200,Algorithm3,27.22236
H,1200,Algorithm3,26.34920
H,1200,Algorithm3,26.67228
H,1200,Algorithm3,26.59617
H,1200,Algorithm3,26.13903
H,1200,Algorithm3,26.94182
H,1200,Algorithm3,27.36962
H,1200,Algorithm3,26.63563
H,1400,Algorithm1,18.67831
H,1400,Algorithm1,18.57899
H,1400,Algorithm1,18.65013
H,1400,Algorithm1,18.71664
H,1400,Algorithm1,18.59499
H,1400,Algorithm1,18.71687
H,1400,Algorithm1,18.58437
H,1400,Algorithm1,18.63578
H,1400,Algorithm1,18.65043
H,1400,Algorithm1,18.66803
H,1400,Algorithm1,18.70965
H,1400,Algorithm1,18.65753
H,1400,Algorithm1,18.76782
H,1400,Algorithm1,18.77598
H,1400,Algorithm1,18.64675
H,1400,Algorithm1,18.71815
H,1400,Algorithm1,18.69028
H,1400,Algorithm1,18.67055
H,1400,Algorithm1,18.66909
H,1400,Algorithm1,18.75099
H,1400,Algorithm2,118.52381
H,1400,Algorithm2,118.32246
H,1400,Algorithm2,117.93540
H,1400,Algorithm2,118.25220
H,1400,Algorithm2,118.69049
H,1400,Algorithm2,117.70302
H,1400,Algorithm2,118.23255
H,1400,Algorithm2,117.87501
H,1400,Algorithm2,117.60359
H,1400,Algorithm2,118.18069
H,1400,Algorithm2,118.59321
H,1400,Algorithm2,119.05140
H,1400,Algorithm2,117.83805
H,1400,Algorithm2,118.46905
H,1400,Algorithm2,118.62745
H,1400,Algorithm2,118.27285
H,1400,Algorithm2,118.09681
H,1400,Algorithm2,118.13098
H,1400,Algorithm2,117.88197
H,1400,Algorithm2,118.45554
H,1400,Algorithm3,52.79397
H,1400,Algorithm3,52.77909
H,1400,Algorithm3,52.62330
H,1400,Algorithm3,53.45975
H,1400,Algorithm3,53.29483
H,1400,Algorithm3,53.02330
H,1400,Algorithm3,53.41836
H,1400,Algorithm3,52.65658
H,1400,Algorithm3,53.65482
H,1400,Algorithm3,53.26118
H,1400,Algorithm3,52.84015
H,1400,Algorithm3,52.85743
H,1400,Algorithm3,53.35013
H,1400,Algorithm3,53.53459
H,1400,Algorithm3,52.70136
H,1400,Algorithm3,53.48272
H,1400,Algorithm3,53.63561
H,1400,Algorithm3,53.26833
H,1400,Algorithm3,52.82450
H,1400,Algorithm3,53.64508
H,1600,Algorithm1,35.18203
H,1600,Algorithm1,34.94245
H,1600,Algorithm1,34.93413
H,1600,Algorithm1,35.12447
H,1600,Algorithm1,35.08968
H,1600,Algorithm1,34.91755
H,1600,Algorithm1,34.76631
H,1600,Algorithm1,35.01616
H,1600,Algorithm1,34.95930
H,1600,Algorithm1,34.92233
H,1600,Algorithm1,34.73026
H,1600,Algorithm1,34.97771
H,1600,Algorithm1,34.96851
H,1600,Algorithm1,34.96810
H,1600,Algorithm1,34.78198
H,1600,Algorithm1,34.84390
H,1600,Algorithm1,34.88884
H,1600,Algorithm1,34.95929
H,1600,Algorithm1,34.97735
H,1600,Algorithm1,34.88205
H,1600,Algorithm2,193.88105
H,1600,Algorithm2,194.58530
H,1600,Algorithm2,194.10555
H,1600,Algorithm2,194.05135
H,1600,Algorithm2,193.84076
H,1600,Algorithm2,193.02448
H,1600,Algorithm2,193.35135
H,1600,Algorithm2,193.64970
H,1600,Algorithm2,192.91386
H,1600,Algorithm2,194.00779
H,1600,Algorithm2,192.78587
H,1600,Algorithm2,193.80924
H,1600,Algorithm2,192.85083
H,1600,Algorithm2,192.45089
H,1600,Algorithm2,193.51104
H,1600,Algorithm2,193.61262
H,1600,Algorithm2,194.58878
H,1600,Algorithm2,193.11828
H,1600,Algorithm2,193.29648
H,1600,Algorithm2,194.47506
H,1600,Algorithm3,87.03920
H,1600,Algorithm3,87.27668
H,1600,Algorithm3,87.37144
H,1600,Algorithm3,86.59238
H,1600,Algorithm3,86.77059
H,1600,Algorithm3,87.38368
H,1600,Algorithm3,86.36465
H,1600,Algorithm3,86.96663
H,1600,Algorithm3,87.33681
H,1600,Algorithm3,87.01408
H,1600,Algorithm3,87.27637
H,1600,Algorithm3,87.30768
H,1600,Algorithm3,87.07068
H,1600,Algorithm3,86.94181
H,1600,Algorithm3,86.43470
H,1600,Algorithm3,86.53147
H,1600,Algorithm3,87.08909
H,1600,Algorithm3,86.86761
H,1600,Algorithm3,87.25218
H,1600,Algorithm3,87.10974
H,1800,Algorithm1,50.58825
H,1800,Algorithm1,50.85395
H,1800,Algorithm1,50.48294
H,1800,Algorithm1,49.84258
H,1800,Algorithm1,50.05175
H,1800,Algorithm1,50.79265
H,1800,Algorithm1,50.07130
H,1800,Algorithm1,49.80571
H,1800,Algorithm1,49.73910
H,1800,Algorithm1,49.71243
H,1800,Algorithm1,50.06006
H,1800,Algorithm1,50.07903
H,1800,Algorithm1,50.97029
H,1800,Algorithm1,50.61063
H,1800,Algorithm1,49.87517
H,1800,Algorithm1,50.43767
H,1800,Algorithm1,50.43565
H,1800,Algorithm1,50.09594
H,1800,Algorithm1,50.99982
H,1800,Algorithm1,50.09583
H,1800,Algorithm2,290.94596
H,1800,Algorithm2,291.73652
H,1800,Algorithm2,291.96050
H,1800,Algorithm2,290.65098
H,1800,Algorithm2,291.83877
H,1800,Algorithm2,291.13780
H,1800,Algorithm2,291.42346
H,1800,Algorithm2,290.94402
H,1800,Algorithm2,291.84149
H,1800,Algorithm2,291.32932
H,1800,Algorithm2,291.04640
H,1800,Algorithm2,291.33436
H,1800,Algorithm2,290.54849
H,1800,Algorithm2,291.62626
H,1800,Algorithm2,291.49520
H,1800,Algorithm2,290.62582
H,1800,Algorithm2,291.56452
H,1800,Algorithm2,291.67297
H,1800,Algorithm2,290.82100
H,1800,Algorithm2,291.53533
H,1800,Algorithm3,129.72982
H,1800,Algorithm3,129.35754
H,1800,Algorithm3,128.89364
H,1800,Algorithm3,129.63281
H,1800,Algorithm3,128.69543
H,1800,Algorithm3,129.58884
H,1800,Algorithm3,129.09440
H,1800,Algorithm3,129.36655
H,1800,Algorithm3,128.69182
H,1800,Algorithm3,128.85230
